date,team,workflow,source,sessions,completed,accepted_output,flagged_for_review,avg_minutes_saved,median_confidence,user_rating,notes
2026-08-01,Sales,Lead summary,email,42,35,29,3,8.5,0.74,4.1,normal day
2026-08-01,Sales,Lead summary,manual,18,12,8,2,6.0,0.61,3.8,normal day
2026-08-01,Support,Reply draft,queue,55,48,39,6,4.5,0.82,4.0,normal day
2026-08-01,Support,Reply draft,manual,11,8,5,1,3.0,0.68,,missing rating
2026-08-01,Product,Feedback clustering,csv upload,12,9,6,2,14.0,0.59,3.6,small sample
2026-08-01,Product,Feedback clustering,manual,5,4,3,1,11.0,0.55,3.5,small sample
2026-08-02,Sales,Lead summary,email,46,38,31,3,8.2,0.76,4.2,normal day
2026-08-02,Sales,Lead summary,manual,20,14,9,2,6.4,0.63,3.9,normal day
2026-08-02,Support,Reply draft,queue,61,52,41,7,4.2,0.83,4.1,normal day
2026-08-02,Support,Reply draft,manual,12,9,6,1,3.2,0.69,3.7,normal day
2026-08-02,Product,Feedback clustering,csv upload,16,11,8,2,13.5,0.60,3.7,normal day
2026-08-02,product,Feedback clustering,manual,6,4,2,1,10.5,0.52,3.4,team casing differs
2026-08-03,Sales,Lead summary,email,50,40,32,4,8.4,0.77,4.2,normal day
2026-08-03,Sales,Lead summary,manual,22,15,10,2,6.1,0.64,3.8,normal day
2026-08-03,Support,Reply draft,queue,64,54,42,8,4.0,0.84,4.0,normal day
2026-08-03,Support,Reply draft,manual,13,10,6,1,3.4,0.70,3.8,normal day
2026-08-03,Product,Feedback clustering,csv upload,18,12,8,2,13.0,0.61,3.8,normal day
2026-08-03,Product,Feedback clustering,manual,7,5,3,1,10.8,0.53,3.5,normal day
2026-08-04,Sales,Lead summary,email,53,43,35,3,8.7,0.79,4.3,new prompt version started
2026-08-04,Sales,Lead summary,manual,25,18,13,2,6.7,0.66,4.0,new prompt version started
2026-08-04,Support,Reply draft,queue,69,57,45,9,4.1,0.86,4.2,new prompt version started
2026-08-04,Support,Reply draft,manual,14,10,7,1,3.5,0.72,3.9,new prompt version started
2026-08-04,Product,Feedback clustering,csv upload,20,14,10,2,13.7,0.63,3.9,new prompt version started
2026-08-04,Product,Feedback clustering,manual,8,6,4,1,11.2,0.55,3.6,new prompt version started
2026-08-05,Sales,Lead summary,email,140,126,119,2,12.0,0.95,4.9,traffic spike from demo account
2026-08-05,Sales,Lead summary,email,140,126,119,2,12.0,0.95,4.9,duplicate export row
2026-08-05,Sales,Lead summary,manual,28,20,15,2,6.5,0.67,4.0,normal day
2026-08-05,Support,Reply draft,queue,72,60,47,9,4.2,0.87,4.2,normal day
2026-08-05,Support,Reply draft,manual,16,12,8,2,3.4,0.73,3.8,normal day
2026-08-05,Product,Feedback clustering,csv upload,24,15,10,3,13.9,0.64,3.8,normal day
2026-08-05,Product,Feedback clustering,manual,9,7,4,1,11.0,n/a,3.5,confidence missing as text
2026-08-06,Sales,Lead summary,email,58,47,38,4,8.8,0.80,4.3,normal day
2026-08-06,Sales,Lead summary,manual,27,19,14,2,6.8,0.67,4.0,normal day
2026-08-06,Support,Reply draft,queue,75,61,48,10,4.0,0.88,4.1,normal day
2026-08-06,Support,Reply draft,manual,18,13,9,2,3.5,0.74,3.9,normal day
2026-08-06,Product,Feedback clustering,csv upload,28,17,11,4,14.1,0.66,3.8,normal day
2026-08-06,Product,Feedback clustering,manual,11,8,5,1,11.3,0.57,3.6,normal day
2026-08-07,Sales,Lead summary,email,61,49,39,5,8.6,0.81,4.2,normal day
2026-08-07,Support,Reply draft,queue,30,17,8,12,1.5,0.91,2.1,review policy changed mid-day
2026-08-07,Product,Feedback clustering,csv upload,31,18,12,4,14.4,0.67,3.9,normal day
2026-08-07,Product,Feedback clustering,manual,12,8,5,1,11.1,0.58,3.6,normal day
